
保有証券一覧

株式（特定預り）合計

評価額合計,評価損益合計
5511692,+1212869

株式（特定預り）

銘柄コード,銘柄名称,保有株数,売却注文中,取得単価,現在値,取得金額,評価額,評価損益
"1434","ＪＥＳＣＯ　ＨＤ",38,,418,931,15884,35378,+19494 
"1518","三井松島ＨＤ",7,,3215,2785,22505,19495,-3010 
"1775","ＦＦＥ＆Ｃ",3,,2624,5440,7872,16320,+8448 
"1835","東鉄工",71,,2234,3010,158614,213710,+55096 
"1925","大和ハウス",100,,3073,4335,307300,433500,+126200 
"1928","積水ハウス",42,,2202,3259,92484,136878,+44394 
"1951","エクシオグループ",12,,2360,3254,28320,39048,+10728 
"2003","日東富士",3,,4805,5200,14415,15600,+1185 
"2124","ＪＡＣ",276,,435,679,120060,187404,+67344 
"2127","日本Ｍ＆Ａ",619,,1003,896.3,620857,554809.7,-66047.3 
"2169","ＣＤＳ",25,,1610,1700,40250,42500,+2250 
"2317","システナ",351,,259,284,90909,99684,+8775 
"2353","日駐",100,,137,177,13700,17700,+4000 
"2395","新日科学",16,,2160,1546,34560,24736,-9824 
"2914","ＪＴ",10,,2066,3938,20660,39380,+18720 
"2927","ＡＦＣ－ＨＤ",100,,710,923,71000,92300,+21300 
"3003","ヒューリック",98,,1041,1553.5,102018,152243,+50225 
"3101","東洋紡",100,,1044,1076,104400,107600,+3200 
"3179","シュッピン",28,,913,1043,25564,29204,+3640 
"3248","アールエイジ",45,,681,810,30645,36450,+5805 
"3409","北日本紡績",43,,141,104,6063,4472,-1591 
"3632","グリー",42,,770,540,32340,22680,-9660 
"3817","ＳＲＡＨＤ",11,,2803,3870,30833,42570,+11737 
"3834","朝日ネット",33,,610,624,20130,20592,+462 
"3847","パシフィックＳ",22,,2948,3880,64856,85360,+20504 
"4008","住友精化",4,,4485,4940,17940,19760,+1820 
"4042","東ソー",62,,1622,1918,100564,118916,+18352 
"4044","セ硝子",22,,2725,2908,59950,63976,+4026 
"4064","カーバイド",9,,1329,1826,11961,16434,+4473 
"4183","三井化学",8,,3620,3952,28960,31616,+2656 
"4361","川口化",26,,1046,1339,27196,34814,+7618 
"4452","花王",8,,4856,5626,38848,45008,+6160 
"4502","武田薬",11,,3668,4259,40348,46849,+6501 
"4528","小野薬",24,,2504,2513,60096,60312,+216 
"4641","アルプス技",8,,2450,2928,19600,23424,+3824 
"4743","アイティフォー",29,,1069,1208,31001,35032,+4031 
"4967","小林製薬",3,,7591,6202,22773,18606,-4167 
"5101","浜ゴム",30,,1554,3567,46620,107010,+60390 
"5184","ニチリン",25,,1514,3575,37850,89375,+51525 
"5201","ＡＧＣ",19,,4618,5277,87742,100263,+12521 
"5406","神戸鋼",56,,616,2054.5,34496,115052,+80556 
"6073","アサンテ",100,,1529,1642,152900,164200,+11300 
"6087","アビスト",6,,2871,3110,17226,18660,+1434 
"6113","アマダ",66,,1008,1557.5,66528,102795,+36267 
"6167","冨士ダイス",45,,746,702,33570,31590,-1980 
"6291","エアーテック",47,,1047,1215,49209,57105,+7896 
"6592","マブチモーター",16,,1902,2564.5,30432,41032,+10600 
"6643","戸上電",24,,1716,2681,41184,64344,+23160 
"6856","堀場製",3,,5940,12455,17820,37365,+19545 
"7186","コンコルディアＦＧ",44,,441,688.7,19404,30302.8,+10898.8 
"7224","新明和工",36,,878,1178,31608,42408,+10800 
"7226","極東開",19,,1328,2346,25232,44574,+19342 
"7267","ホンダ",60,,1035,1703.5,62100,102210,+40110 
"7272","ヤマハ発",72,,790,1432.5,56880,103140,+46260 
"7512","イオン北海",63,,910,932,57330,58716,+1386 
"7844","マーベラス",38,,704,742,26752,28196,+1444 
"7874","レック",14,,896,1049,12544,14686,+2142 
"7995","バルカー",8,,2484,4200,19872,33600,+13728 
"8584","ジャックス",4,,2994,5440,11976,21760,+9784 
"8591","オリックス",100,,2094,3010,209400,301000,+91600 
"8593","三菱ＨＣキャピタル",59,,554,1042.5,32686,61507.5,+28821.5 
"8766","東京海上",11,,2568,3853,28248,42383,+14135 
"9069","センコーグループＨＤ",68,,962,1114,65416,75752,+10336 
"9142","ＪＲ九州",10,,2494,3336,24940,33360,+8420 
"9303","住友倉",31,,1998,2567,61938,79577,+17639 
"9432","ＮＴＴ",275,,140,180.8,38500,49720,+11220 
"9433","ＫＤＤＩ",5,,3388,4467,16940,22335,+5395 
"9436","沖縄セルラー",8,,2491,3480,19928,27840,+7912 
"9600","アイネット",24,,1244,1885,29856,45240,+15384 
"9698","クレオ",88,,857,1137,75416,100056,+24640 
"9769","学究社",24,,2030,2129,48720,51096,+2376 
"9831","ヤマダＨＤ",100,,387,444.8,38700,44480,+5780 
"9880","イノテック",53,,1328,1753,70384,92909,+22525 
"9986","蔵王産業",36,,1750,2547,63000,91692,+28692 

投資信託（金額/特定預り）合計

評価額合計,評価損益合計
3903316,+1033105

投資信託（金額/特定預り）

ファンド名,保有口数,売却注文中,取得単価,基準価額,取得金額,評価額,評価損益,分配金受取方法
"ＳＢＩ－ＳＢＩ・Ｖ・全米株式インデックス・ファンド",2525928口,,11363,15453,2870211,3903316,+1033105,再投資






